lat_long,casualties_id,Casualties.casualties_id,Casualties.casualties,Casualties.fatalities,Casualties.serious_injuries,Casualties.minor_injuries,Location2.lat_long,Location2.latitude,Location2.longitude
"(-37.18569390895893, 144.76773296005368)",1c1m,1c1m,1,0,0,1,"(-37.18569390895893, 144.76773296005368)",-37.18569391,144.7677330
"(-37.134356969620406, 144.8321461847362)",1c1m,1c1m,1,0,0,1,"(-37.134356969620406, 144.8321461847362)",-37.13435697,144.8321462
"(-37.91847470346267, 143.83351378135757)",1c1m,1c1m,1,0,0,1,"(-37.91847470346267, 143.83351378135757)",-37.91847470,143.8335138
"(-37.006875913865514, 144.99153118767725)",1c1m,1c1m,1,0,0,1,"(-37.006875913865514, 144.99153118767725)",-37.00687591,144.9915312
"(-36.75448824197877, 145.30473308165006)",2c1s1m,2c1s1m,2,0,1,1,"(-36.75448824197877, 145.30473308165006)",-36.75448824,145.3047331
"(-36.83041076053659, 145.21084132567603)",3c1s2m,3c1s2m,3,0,1,2,"(-36.83041076053659, 145.21084132567603)",-36.83041076,145.2108413
"(-36.88054433344275, 145.14868973664912)",3c3m,3c3m,3,0,0,3,"(-36.88054433344275, 145.14868973664912)",-36.88054433,145.1486897
"(-37.15194764004789, 144.81008976066317)",2c2m,2c2m,2,0,0,2,"(-37.15194764004789, 144.81008976066317)",-37.15194764,144.8100898
"(-36.876234704194836, 145.1540372554005)",2c2m,2c2m,2,0,0,2,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-36.876234704194836, 145.1540372554005)",1c1s,1c1s,1,0,1,0,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-36.876234704194836, 145.1540372554005)",1c1m,1c1m,1,0,0,1,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-36.876234704194836, 145.1540372554005)",1c1s,1c1s,1,0,1,0,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-36.876234704194836, 145.1540372554005)",1c1m,1c1m,1,0,0,1,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-36.876234704194836, 145.1540372554005)",2c1s1m,2c1s1m,2,0,1,1,"(-36.876234704194836, 145.1540372554005)",-36.87623470,145.1540373
"(-37.19660810249367, 144.7540217310338)",1c1m,1c1m,1,0,0,1,"(-37.19660810249367, 144.7540217310338)",-37.19660810,144.7540217
"(-36.913554738095314, 145.1076994820973)",1c1m,1c1m,1,0,0,1,"(-36.913554738095314, 145.1076994820973)",-36.91355474,145.1076995
"(-36.979709526689405, 145.0253925611487)",2c2s,2c2s,2,0,2,0,"(-36.979709526689405, 145.0253925611487)",-36.97970953,145.0253926
"(-36.81110901596663, 145.23473768214956)",1c1m,1c1m,1,0,0,1,"(-36.81110901596663, 145.23473768214956)",-36.81110902,145.2347377
"(-36.81110901596663, 145.23473768214956)",2c2m,2c2m,2,0,0,2,"(-36.81110901596663, 145.23473768214956)",-36.81110902,145.2347377
"(-37.04315753906911, 144.94625150115584)",1c1m,1c1m,1,0,0,1,"(-37.04315753906911, 144.94625150115584)",-37.04315754,144.9462515
"(-37.920361291365936, 143.83107186025677)",1c1m,1c1m,1,0,0,1,"(-37.920361291365936, 143.83107186025677)",-37.92036129,143.8310719
"(-36.98602339612027, 145.01752591320772)",1c1s,1c1s,1,0,1,0,"(-36.98602339612027, 145.01752591320772)",-36.98602340,145.0175259
"(-36.69975339147787, 145.372251078401)",3c3m,3c3m,3,0,0,3,"(-36.69975339147787, 145.372251078401)",-36.69975339,145.3722511
"(-36.85777592578189, 145.17693127343506)",4c4m,4c4m,4,0,0,4,"(-36.85777592578189, 145.17693127343506)",-36.85777593,145.1769313
"(-37.17228298240999, 144.78457258554513)",1c1m,1c1m,1,0,0,1,"(-37.17228298240999, 144.78457258554513)",-37.17228298,144.7845726
"(-36.832555525315804, 145.20818490824817)",1c1m,1c1m,1,0,0,1,"(-36.832555525315804, 145.20818490824817)",-36.83255553,145.2081849
"(-36.909821119088654, 145.112338316489)",1c1m,1c1m,1,0,0,1,"(-36.909821119088654, 145.112338316489)",-36.90982112,145.1123383
"(-36.857538841103825, 145.17722521693452)",1c1m,1c1m,1,0,0,1,"(-36.857538841103825, 145.17722521693452)",-36.85753884,145.1772252
"(-36.98167355486189, 145.02294572658414)",1c1m,1c1m,1,0,0,1,"(-36.98167355486189, 145.02294572658414)",-36.98167355,145.0229457
"(-37.200410764150455, 144.74924313617592)",1c1m,1c1m,1,0,0,1,"(-37.200410764150455, 144.74924313617592)",-37.20041076,144.7492431
"(-37.200410764150455, 144.74924313617592)",4c1s3m,4c1s3m,4,0,1,3,"(-37.200410764150455, 144.74924313617592)",-37.20041076,144.7492431
"(-37.200410764150455, 144.74924313617592)",2c2m,2c2m,2,0,0,2,"(-37.200410764150455, 144.74924313617592)",-37.20041076,144.7492431
"(-37.200410764150455, 144.74924313617592)",1c1m,1c1m,1,0,0,1,"(-37.200410764150455, 144.74924313617592)",-37.20041076,144.7492431
"(-37.01366799713215, 144.98305956479365)",1c1m,1c1m,1,0,0,1,"(-37.01366799713215, 144.98305956479365)",-37.01366800,144.9830596
"(-36.963512452792074, 145.0455640583272)",2c2m,2c2m,2,0,0,2,"(-36.963512452792074, 145.0455640583272)",-36.96351245,145.0455641
"(-36.963512452792074, 145.0455640583272)",1c1m,1c1m,1,0,0,1,"(-36.963512452792074, 145.0455640583272)",-36.96351245,145.0455641
"(-36.963512452792074, 145.0455640583272)",1c1m,1c1m,1,0,0,1,"(-36.963512452792074, 145.0455640583272)",-36.96351245,145.0455641
"(-36.963512452792074, 145.0455640583272)",1c1s,1c1s,1,0,1,0,"(-36.963512452792074, 145.0455640583272)",-36.96351245,145.0455641
"(-37.002236099843245, 144.99731702460286)",1c1s,1c1s,1,0,1,0,"(-37.002236099843245, 144.99731702460286)",-37.00223610,144.9973170
"(-37.002236099843245, 144.99731702460286)",1c1f,1c1f,1,1,0,0,"(-37.002236099843245, 144.99731702460286)",-37.00223610,144.9973170
"(-36.9885463141889, 145.01438198300625)",1c1m,1c1m,1,0,0,1,"(-36.9885463141889, 145.01438198300625)",-36.98854631,145.0143820
"(-36.87894588492806, 145.15067324527232)",1c1m,1c1m,1,0,0,1,"(-36.87894588492806, 145.15067324527232)",-36.87894588,145.1506732
"(-36.94479114874463, 145.06886316490693)",1c1m,1c1m,1,0,0,1,"(-36.94479114874463, 145.06886316490693)",-36.94479115,145.0688632
"(-36.799848019055446, 145.24867096481387)",1c1s,1c1s,1,0,1,0,"(-36.799848019055446, 145.24867096481387)",-36.79984802,145.2486710
"(-37.95313232672753, 143.7886234414752)",3c1f2s,3c1f2s,3,1,2,0,"(-37.95313232672753, 143.7886234414752)",-37.95313233,143.7886234
"(-37.95313232672753, 143.7886234414752)",3c1f2s,3c1f2s,3,1,2,0,"(-37.95313232672753, 143.7886234414752)",-37.95313233,143.7886234
"(-37.0181679235136, 144.97744564950978)",1c1m,1c1m,1,0,0,1,"(-37.0181679235136, 144.97744564950978)",-37.01816792,144.9774456
"(-37.0181679235136, 144.97744564950978)",1c1m,1c1m,1,0,0,1,"(-37.0181679235136, 144.97744564950978)",-37.01816792,144.9774456
"(-37.0181679235136, 144.97744564950978)",1c1m,1c1m,1,0,0,1,"(-37.0181679235136, 144.97744564950978)",-37.01816792,144.9774456
"(-37.0181679235136, 144.97744564950978)",1c1m,1c1m,1,0,0,1,"(-37.0181679235136, 144.97744564950978)",-37.01816792,144.9774456
"(-37.01603955993636, 144.98010102905192)",1c1s,1c1s,1,0,1,0,"(-37.01603955993636, 144.98010102905192)",-37.01603956,144.9801010
"(-37.078252580788785, 144.90239077820954)",1c1m,1c1m,1,0,0,1,"(-37.078252580788785, 144.90239077820954)",-37.07825258,144.9023908
"(-36.72249528971506, 145.34421525652135)",1c1m,1c1m,1,0,0,1,"(-36.72249528971506, 145.34421525652135)",-36.72249529,145.3442153
"(-36.72249528971506, 145.34421525652135)",1c1s,1c1s,1,0,1,0,"(-36.72249528971506, 145.34421525652135)",-36.72249529,145.3442153
